"","Normal","Tumor"
"ENSG00000011485.15",9.195857,5.396803
"ENSG00000011523.15",36.723674,26.751136
"ENSG00000011566.15",9.913435,7.966957
"ENSG00000011590.14",0,2.959905
"ENSG00000011600.12",0,8.007462
"ENSG00000011638.11",0.49288,4.938408
"ENSG00000011677.13",0.562833,2.576893
"ENSG00000012048.26",17.133883,27.168201
"ENSG00000012061.17",20.01072,20.284073
"ENSG00000012124.17",31.005587,35.218658
"ENSG00000012171.20",5.586602,3.829057
"ENSG00000012174.12",2.289238,4.095822
"ENSG00000012211.13",1.628851,7.850794
"ENSG00000012223.13",0.51909,3.008712
"ENSG00000012232.10",229.163182,79.869222
"ENSG00000012504.15",1.140947,1.236867
"ENSG00000012660.14",2.040055,0.902167
"ENSG00000012779.12",0.599323,3.136235
"ENSG00000012817.16",0,0
"ENSG00000012822.16",6.103871,5.93453
"ENSG00000012963.15",0,3.263758
"ENSG00000012983.12",1.270883,8.69657
"ENSG00000013016.16",1.682661,1.414815
"ENSG00000013275.8",1.575133,7.414341
"ENSG00000013288.9",4.126116,1.247454
"ENSG00000013293.6",6.313982,13.963994
"ENSG00000013297.12",1.064359,3.772863
"ENSG00000013306.16",1.629988,8.13575
"ENSG00000013364.19",17.124977,10.252861
"ENSG00000013374.17",6.115932,7.83652
"ENSG00000013375.17",48.684626,16.387221
"ENSG00000013392.8",0.554096,0.920676
"ENSG00000013441.17",0,15.33022
"ENSG00000013503.10",1.467915,5.866529
"ENSG00000013523.12",5.128924,3.677852
"ENSG00000013561.18",34.231547,19.939696
"ENSG00000013563.14",2.389049,1.214044
"ENSG00000013573.17",47.349211,21.495862
"ENSG00000013583.10",5.200741,0.712479
"ENSG00000013588.10",2.826331,7.443599
"ENSG00000013619.15",1.584306,1.273
"ENSG00000013725.14",2.959936,9.077076
"ENSG00000013810.21",11.337376,3.359224
"ENSG00000014123.10",1.129369,0.081417
"ENSG00000014138.10",25.170224,26.847761
"ENSG00000014164.7",0.849544,1.072659
"ENSG00000014216.16",11.158698,7.750626
"ENSG00000014257.17",5.916918,3.506774
"ENSG00000014641.21",12.919753,9.463528
"ENSG00000014824.14",1.562246,2.104704
"ENSG00000014914.21",3.526474,4.428396
"ENSG00000014919.13",0.252697,0.928967
"ENSG00000015133.20",0,8.380702
"ENSG00000015153.15",6.415868,7.196395
"ENSG00000015171.21",254.173729,125.798572
"ENSG00000015285.12",6.707109,6.93685
"ENSG00000015413.10",0,2.726239
"ENSG00000015475.19",11.908418,6.751316
"ENSG00000015479.20",5.318567,11.13417
"ENSG00000015520.15",1.881284,2.019606
"ENSG00000015532.10",1.480202,7.961661
"ENSG00000015568.13",31.491214,55.357811
"ENSG00000015592.17",0,2.142485
"ENSG00000015676.18",1.071254,1.455317
"ENSG00000016082.15",1.196412,0.302552
"ENSG00000016391.11",7.630827,3.476075
"ENSG00000016402.14",8.380216,1.08262
"ENSG00000016490.16",0.232889,0.23532
"ENSG00000016602.9",1.516311,0.547048
"ENSG00000016864.19",10.690666,3.506667
"ENSG00000017260.20",0.574828,4.8173
"ENSG00000017427.17",0,1.15617
"ENSG00000017483.16",1.572235,3.338829
"ENSG00000017797.13",24.877563,6.853832
"ENSG00000018189.13",21.123738,12.935085
