"","Normal","Tumor"
"ENSG00000006210.7",6.35162765352543,6.64167597823492
"ENSG00000006282.22",6.01029005900585,6.69728978438911
"ENSG00000006283.18",6.02121039035431,6.45853132703258
"ENSG00000006327.14",6.37959836785733,5.89291512664032
"ENSG00000006377.11",5.49609511135629,6.20525841201854
"ENSG00000006432.16",8.56527646162493,7.30032739458949
"ENSG00000006451.8",5.49609511135629,6.39205983713595
"ENSG00000006453.14",5.64109096930385,6.69279892431539
"ENSG00000006459.11",6.43617220788212,6.17814776688576
"ENSG00000006468.15",6.37068863019365,6.31590984688733
"ENSG00000006530.18",7.46208584102478,7.34837772774742
"ENSG00000006534.17",6.81280527384628,6.87286779116046
"ENSG00000006555.11",6.2705990370523,6.6034712489455
"ENSG00000006576.17",6.27250978357927,6.74392677828397
"ENSG00000006607.14",7.15283373449551,7.13869393028744
"ENSG00000006611.17",6.08690226865416,5.80555977490352
"ENSG00000006625.18",5.96686011722239,6.21836305485334
"ENSG00000006634.8",6.20696084610003,6.36130096536538
"ENSG00000006638.13",8.42839593845281,7.97775236222758
"ENSG00000006652.15",5.82097032031751,6.05912727892521
"ENSG00000006695.12",6.26329260531774,6.28333763050349
"ENSG00000006704.11",6.46230185378203,6.91258859321716
"ENSG00000006715.16",6.83024007225846,6.91194452178491
"ENSG00000006740.18",7.01650843741577,7.00058836546697
"ENSG00000006744.19",6.09264984084032,6.84689881369287
"ENSG00000006747.15",7.6641598130718,7.21413170327838
"ENSG00000006756.16",5.99049916896934,6.68645716886354
"ENSG00000006757.12",6.18511646204125,6.25755105009788
"ENSG00000006788.14",5.49609511135629,6.28106714757349
"ENSG00000006831.10",6.15102059672513,6.28821410808294
"ENSG00000006837.12",6.67784164549194,6.96508632066814
"ENSG00000007001.14",5.71570303405585,6.12058911735615
"ENSG00000007047.16",6.34755400944585,6.65370733388628
"ENSG00000007062.12",6.07456470553725,6.54690613484433
"ENSG00000007080.11",5.73978396673188,6.14538598930306
"ENSG00000007168.15",8.4764236520211,8.19766715297593
"ENSG00000007171.19",6.43800872279219,6.37213429636311
"ENSG00000007174.18",6.13459903626186,6.78184871950415
"ENSG00000007202.16",6.28313400223419,6.22274180540868
"ENSG00000007237.19",6.30481541558564,6.74625502786922
"ENSG00000007264.15",5.99786681513536,6.1499150091637
"ENSG00000007312.14",6.02700109683516,6.09031784352069
"ENSG00000007314.12",6.21199410989095,6.40078587482486
"ENSG00000007341.19",6.37113598844844,5.85476692250853
"ENSG00000007350.18",6.26662103234637,6.07766148000763
"ENSG00000007372.25",6.76974785401296,6.91263653925712
"ENSG00000007376.8",5.93530809354676,6.15194626978289
"ENSG00000007384.15",5.97325457462857,6.06956963008422
"ENSG00000007392.17",6.31386506865959,7.19430126374307
"ENSG00000007402.12",5.98738334219582,6.13800045378196
"ENSG00000007516.15",5.88237746680215,6.30992888811336
"ENSG00000007541.17",6.2198147970874,6.54658498559324
"ENSG00000007545.16",5.96278570365477,6.31970825268673
"ENSG00000007908.16",6.06648353961427,6.44293960534345
"ENSG00000007923.17",6.81131227429614,7.21138314067742
"ENSG00000007933.13",6.51261289513108,6.08818876097897
"ENSG00000007944.15",5.49609511135629,6.11949207794382
"ENSG00000007968.7",6.62151374215555,7.1772997918808
"ENSG00000008083.14",5.89666317955315,6.14973411424608
"ENSG00000008086.13",8.50130799906221,7.72213116260803
"ENSG00000008128.23",6.39192699987845,6.24586122650992
"ENSG00000008130.15",6.138621380106,6.25721555729404
"ENSG00000008196.13",6.256751967099,5.83956118181252
"ENSG00000008226.20",5.99424609381796,6.14205649831593
"ENSG00000008256.17",6.13682019010691,5.99334538038538
"ENSG00000008277.15",6.22925011368831,6.56370206664596
"ENSG00000008282.10",5.86127985904188,6.23316577334556
